Run,HB_set,Q1_set,Q2_set,Q3_set,D_set,Collimator,Target,Raster,TFE,Angle
1689,707.498,449.333,754.735,496.636,682.781,Coll,LH2,3x3,2.21474,7.449
1691,707.498,449.333,754.735,496.636,682.781,Coll,LH2,3x3,2.21474,7.449
1793,1986.94,1241.99,2086.01,1384.82,1889.16,Coll,LH2,2x2,6.40341,7.985
2071,1665.45,1047.33,1759.08,1164.9,1592.77,Coll,LH2,2x2,6.40425,16.023
2072,1665.45,1047.33,1759.08,1164.9,1592.77,Coll,LH2,2x2,6.40424,16.023
2073,1480.01,933.416,1567.71,1036.67,1419.33,Coll,LH2,2x2,6.40426,20.032
2074,1480.01,933.416,1567.71,1036.67,1419.33,Coll,LH2,2x2,6.40427,20.032
2085,1091.54,691.274,1161.05,765.592,1050.83,Coll,LH2,2x2,6.40438,30.059
2086,1091.54,691.274,1161.05,765.592,1050.83,Coll,LH2,2x2,6.40438,30.059
2087,933.876,592.177,994.642,655.228,900.073,Coll,LH2,2x2,6.40437,35.046
2088,933.876,592.177,994.642,655.228,900.073,Coll,LH2,2x2,6.40438,35.046
2221,1576.87,1500,1655.89,1195.22,1527.37,Coll,LH2,2x2,6.40501,24.995
2222,1276.87,807.3,1355.89,895.222,1227.37,Coll,LH2,2x2,6.40498,24.995
2223,1276.87,807.3,1355.89,895.222,1227.37,Coll,LH2,2x2,6.40498,24.995
2224,-nan,-nan,-nan,-nan,-nan,Coll,LH2,-2147483648x-2147483648,-nan,24.995
2225,-nan,-nan,-nan,-nan,-nan,Coll,LH2,-2147483648x-2147483648,-nan,24.995
2226,1276.87,807.3,1355.89,895.222,1227.37,Centered_Sieve,Carbon-1.5%,2x2,6.40318,24.995
2227,1276.87,807.3,1355.89,895.222,1227.37,Centered_Sieve,Carbon-1.5%,2x2,6.40404,24.995
2228,1276.87,807.3,1355.89,895.222,1227.37,Centered_Sieve,LH2,2x2,6.40459,24.995
2229,1276.87,807.3,1355.89,895.222,1227.37,Centered_Sieve,LH2,2x2,6.40466,24.995
2230,1174.2,743.093,1248.07,823.432,1129.68,Coll,LH2,2x2,6.4047,24.995
2231,1091.54,691.274,1161.05,765.592,1050.83,Coll,LH2,2x2,6.40473,24.995
2475,1674.24,1052.69,1768.1,1170.94,1600.94,Coll,LH2,2x2,10.5981,21.035
2476,1674.24,1052.69,1768.1,1170.94,1600.94,Coll,LH2,2x2,10.5981,21.035
2477,1674.24,1052.69,1768.1,1170.94,1600.94,Coll,LH2,2x2,10.5981,21.035
2480,1674.24,1052.69,1768.1,1170.94,1600.94,Coll,LH2,2x2,10.598,21.035
2481,1674.24,1052.69,1768.1,1170.94,1600.94,Coll,LH2,2x2,10.598,21.035
2482,1674.24,1052.69,1768.1,1170.94,1600.94,Coll,Al_Dummy_10cm,2x2,10.598,21.035
2483,1674.24,1052.69,1768.1,1170.94,1600.94,Coll,LH2,2x2,10.5979,21.035
2484,1674.24,1052.69,1768.1,1170.94,1600.94,Coll,LH2,2x2,10.5979,21.035
2485,1674.24,1052.69,1768.1,1170.94,1600.94,Coll,LH2,2x2,10.5979,21.035
2486,1674.24,1052.69,1768.1,1170.94,1600.94,Coll,LH2,2x2,10.5979,21.035
2487,1674.24,1052.69,1768.1,1170.94,1600.94,Coll,LH2,2x2,10.5978,21.035
2488,1674.24,1052.69,1768.1,1170.94,1600.94,Coll,LH2,2x2,10.5978,21.035
2570,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5976,38.975
2571,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5975,38.975
2572,813.04,516,866.72,570.6,784.2,Home,LH2,0x0,10.5982,38.975
2573,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5981,38.975
2574,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5981,38.975
2575,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.598,38.975
2576,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5979,38.975
2583,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5976,38.975
2584,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5975,38.975
2585,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5975,38.975
2586,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5975,38.975
2587,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5975,38.975
2588,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5975,38.975
2589,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5974,38.975
2599,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5963,38.975
2600,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5969,38.975
2601,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5975,38.975
2602,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5974,38.975
2608,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5974,38.975
2609,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5974,38.975
2610,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5974,38.975
2611,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5972,38.975
2612,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5972,38.975
2613,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5971,38.975
2614,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5972,38.975
2626,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5974,38.975
2627,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5973,38.975
2628,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5972,38.975
2629,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5971,38.975
2630,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5972,38.975
2631,813.04,516,866.72,570.6,784.2,Coll,LH2,1x1,10.5978,38.975
2632,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5978,38.975
2633,813.04,516,866.72,570.6,784.2,Coll,LH2,2x2,10.5977,38.975
2726,1042.54,660.512,1109.4,731.3,1004.03,Coll,LH2,2x2,10.597,32.975
2727,1042.54,660.512,1109.4,731.3,1004.03,Coll,LH2,2x2,10.597,32.975
2729,1042.54,660.512,1109.4,731.3,1004.03,Coll,LH2,2x2,10.5971,32.975
2730,1042.54,660.512,1109.4,731.3,1004.03,Coll,LH2,2x2,10.5971,32.975
2737,1042.54,660.512,1109.4,731.3,1004.03,Coll,LH2,2x2,10.5983,32.975
2738,1042.54,660.512,1109.4,731.3,1004.03,Coll,LH2,2x2,10.5978,32.975
2739,1042.54,660.512,1109.4,731.3,1004.03,Coll,LH2,2x2,10.5976,32.975
2740,1042.54,660.512,1109.4,731.3,1004.03,Coll,LH2,2x2,10.5977,32.975
2741,1042.54,660.512,1109.4,731.3,1004.03,Coll,LH2,2x2,10.5974,32.975
2747,1042.54,660.512,1109.4,731.3,1004.03,Coll,LH2,2x2,10.5979,32.975
2748,1042.54,660.512,1109.4,731.3,1004.03,Coll,LH2,2x2,10.5978,32.975
2751,1042.54,660.512,1109.4,731.3,1004.03,Coll,LH2,2x2,10.5976,32.975
2752,1042.54,660.512,1109.4,731.3,1004.03,Coll,LH2,2x2,10.5979,32.975
2753,1042.54,660.512,1109.4,731.3,1004.03,Coll,LH2,2x2,10.5978,32.975
2754,1042.54,660.512,1109.4,731.3,1004.03,Coll,LH2,2x2,10.5979,32.975
2902,1207.18,763.74,1282.74,846.501,1161.09,Coll,LH2,2x2,10.5975,28.990
2903,1207.18,763.74,1282.74,846.501,1161.09,Coll,LH2,2x2,10.5975,28.990
2904,1207.18,763.74,1282.74,846.501,1161.09,Coll,LH2,2x2,10.5975,28.990
2905,1207.18,763.74,1282.74,846.501,1161.09,Coll,LH2,2x2,10.5973,28.990
2906,1207.18,763.74,1282.74,846.501,1161.09,Coll,LH2,2x2,10.5969,28.990
2907,1207.18,763.74,1282.74,846.501,1161.09,Coll,LH2,2x2,10.5966,28.990
2908,1207.18,763.74,1282.74,846.501,1161.09,Coll,LH2,2x2,10.5961,28.990
2909,1207.18,763.74,1282.74,846.501,1161.09,Coll,LH2,2x2,10.5958,28.990
2910,1207.18,763.74,1282.74,846.501,1161.09,Coll,LH2,2x2,10.5954,28.990
2911,1207.18,763.74,1282.74,846.501,1161.09,Coll,LH2,2x2,10.5951,28.990
2912,1207.18,763.74,1282.74,846.501,1161.09,Coll,LH2,2x2,10.5947,28.990
2913,1207.18,763.74,1282.74,846.501,1161.09,Coll,LH2,2x2,10.5943,28.990
3026,1439.27,908.237,1525.42,1008.38,1381,Coll,LH2,2x2,10.5976,24.980
3027,1439.27,908.237,1525.42,1008.38,1381,Coll,LH2,2x2,10.5984,24.980
3028,1439.27,908.237,1525.42,1008.38,1381,Coll,LH2,2x2,10.5981,24.980
3029,1439.27,908.237,1525.42,1008.38,1381,Coll,LH2,2x2,10.5981,24.980
3030,1439.27,908.237,1525.42,1008.38,1381,Coll,LH2,2x2,10.5976,24.980
3031,1439.27,908.237,1525.42,1008.38,1381,Coll,LH2,2x2,10.5977,24.980
3032,1439.27,908.237,1525.42,1008.38,1381,Coll,LH2,2x2,10.5978,24.980
3033,1439.27,908.237,1525.42,1008.38,1381,Coll,LH2,2x2,10.5977,24.980
3034,1439.27,908.237,1525.42,1008.38,1381,Coll,LH2,2x2,10.5976,24.980
3122,1439.27,908.237,1525.42,1008.38,1381,Coll,LH2,1x1,10.5975,24.980
3123,1439.27,908.237,1525.42,1008.38,1381,Coll,LH2,2x2,10.5977,24.980
3148,3358.54,2066.55,3397.52,2276.47,3079.08,Coll,LH2,2x2,10.5974,8.02
3149,3358.54,2066.55,3397.52,2276.47,3079.08,Coll,LH2,2x2,10.5974,8.02
3150,3358.54,2066.55,3397.52,2276.47,3079.08,Coll,LH2,2x2,10.5974,8.02
3151,3358.54,2066.55,3397.52,2276.47,3079.08,Coll,LH2,2x2,10.5974,8.02
3206,1439.27,908.237,1525.42,1008.38,1381,Coll,LH2,2x2,10.5978,24.955
3207,1439.27,908.237,1525.42,1008.38,1381,Coll,LH2,2x2,10.5978,24.955
3208,1439.27,908.237,1525.42,1008.38,1381,Coll,LH2,2x2,10.5978,24.955
3209,1439.27,908.237,1525.42,1008.38,1381,Coll,LH2,2x2,10.5979,24.955
3210,1439.27,908.237,1525.42,1008.38,1381,Coll,LH2,2x2,10.5978,24.955
3211,1439.27,908.237,1525.42,1008.38,1381,Coll,LH2,2x2,10.5978,24.955
3212,1439.27,908.237,1525.42,1008.38,1381,Coll,LH2,2x2,10.5978,24.955
3213,1439.27,908.237,1525.42,1008.38,1381,Coll,LH2,2x2,10.5979,24.955
3214,1439.27,908.237,1525.42,1008.38,1381,Coll,LH2,2x2,10.5977,24.955
3215,1439.27,908.237,1525.42,1008.38,1381,Coll,LH2,2x2,10.5976,24.955
